Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	Assembly Accession Genbank	FTP path genbank	Assembly Accession RefSeq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	Partition	Protein Count	PathoPhenotype
Gardnerella vaginalis 409-05	409-05	ENA	553190.0	Gardnerella vaginalis 409-05	GCA_000025205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/205/GCA_000025205.1_ASM2520v1	GCF_000025205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/205/GCF_000025205.1_ASM2520v1	553190	Gardnerella vaginalis 409-05	strain=409-05	latest	Complete Genome	2010/01/07	1	1273	Pathogenic
Streptococcus equi	H70	Patric (diseases)	40041.0	S. equi	GCA_000026605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/605/GCA_000026605.1_ASM2660v1	GCF_000026605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/605/GCF_000026605.1_ASM2660v1	40041	Streptococcus equi subsp. zooepidemicus	strain=H70	latest	Complete Genome	2009/03/26	4	1958	Pathogenic
Streptococcus gallolyticus	UCN34	Patric (diseases)	637909.0	S. gallolyticus	GCA_000027185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/185/GCA_000027185.1_ASM2718v1	GCF_000027185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/185/GCF_000027185.1_ASM2718v1	637909	Streptococcus gallolyticus UCN34	strain=UCN34	latest	Complete Genome	2010/02/11	3	2255	Pathogenic
Mycoplasmoides genitalium	G37	Patric (diseases)	243273.0	M. genitalium	GCA_000027325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1	GCF_000027325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/325/GCF_000027325.1_ASM2732v1	243273	Mycoplasma genitalium G37	strain=G-37	latest	Complete Genome	2006/01/09	5	995	Pathogenic
Legionella pneumophila	2300/99 Alcoy	Patric (diseases)	423212.0	L. pneumophila	GCA_000092625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/625/GCA_000092625.1_ASM9262v1	GCF_000092625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/625/GCF_000092625.1_ASM9262v1	423212	Legionella pneumophila 2300/99 Alcoy	strain=2300/99 Alcoy	latest	Complete Genome	2010/05/03	2	3129	Pathogenic
Candidatus Riesia pediculicola USDA	USDA	ENA	515618.0	Candidatus Riesia pediculicola USDA	GCA_000093065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/065/GCA_000093065.1_ASM9306v1	GCF_000093065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/065/GCF_000093065.1_ASM9306v1	515618	Candidatus Riesia pediculicola USDA	strain=USDA	latest	Complete Genome	2010/03/16	1	493	Pathogenic
Helicobacter pylori	v225d	Patric (diseases)	637913.0	H. pylori	GCA_000093185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1	GCF_000093185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1	637913	Helicobacter pylori v225d	strain=v225d	latest	Complete Genome	2010/06/03	3	1510	Pathogenic
Corynebacterium genitalium ATCC 33030	ATCC 33030	ENA	585529.0	Corynebacterium genitalium ATCC 33030	GCA_000143825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/825/GCA_000143825.1_ASM14382v1	GCF_000143825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/825/GCF_000143825.1_ASM14382v1	585529	Corynebacterium genitalium ATCC 33030	strain=ATCC 33030	latest	Chromosome	2010/09/07	5	2219	Pathogenic
Corynebacterium accolens ATCC 49726	ATCC 49726	ENA	862512.0	Corynebacterium accolens ATCC 49726	GCA_000146485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/485/GCA_000146485.1_ASM14648v1	GCF_000146485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/485/GCF_000146485.1_ASM14648v1	862512	Corynebacterium accolens ATCC 49726	strain=ATCC 49726	latest	Scaffold	2010/09/01	2	2296	Pathogenic
Streptococcus gallolyticus subsp. gallolyticus TX20005//Streptococcus gallolyticus	TX20005	ENA, Patric (diseases)	545774.0	Streptococcus gallolyticus subsp. gallolyticus TX20005//Streptococcus gallolyticus	GCA_000146525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/525/GCA_000146525.1_ASM14652v1	GCF_000146525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/525/GCF_000146525.1_ASM14652v1	545774	Streptococcus gallolyticus subsp. gallolyticus TX20005	strain=TX20005	latest	Scaffold	2010/09/01	3	2171	Pathogenic
Streptococcus pneumoniae//Streptococcus mitis ATCC 6249	ATCC 6249	ENA, NCBI	864567.0	Streptococcus pneumoniae//Streptococcus mitis ATCC 6249	GCA_000146585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/585/GCA_000146585.1_ASM14658v1	GCF_000146585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/585/GCF_000146585.1_ASM14658v1	864567	Streptococcus mitis ATCC 6249	strain=ATCC 6249	latest	Scaffold	2010/09/01	2	1753	Pathogenic
Neisseria meningitidis ATCC 13091//Neisseria meningitidis	ATCC 13091	ENA, NCBI	862513.0	Neisseria meningitidis ATCC 13091//Neisseria meningitidis	GCA_000146655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/655/GCA_000146655.1_ASM14665v1	GCF_000146655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/655/GCF_000146655.1_ASM14665v1	862513	Neisseria meningitidis ATCC 13091	strain=ATCC 13091	latest	Scaffold	2010/09/01	1	2116	Pathogenic
Streptococcus pyogenes ATCC 10782//Streptococcus pyogenes	ATCC 10782	ENA, NCBI	864568.0	Streptococcus pyogenes ATCC 10782//Streptococcus pyogenes	GCA_000146715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/715/GCA_000146715.1_ASM14671v1	GCF_000146715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/715/GCF_000146715.1_ASM14671v1	864568	Streptococcus pyogenes ATCC 10782	strain=ATCC 10782	latest	Scaffold	2010/09/03	4	1889	Pathogenic
Streptococcus sp. oral taxon 071 str. 73H25AP	73H25AP	ENA	864570.0	Streptococcus sp. oral taxon 071 str. 73H25AP	GCA_000146755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/755/GCA_000146755.1_ASM14675v1	GCF_000146755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/755/GCF_000146755.1_ASM14675v1	864570	Streptococcus sp. oral taxon 071 str. 73H25AP	strain=73H25AP	latest	Scaffold	2010/09/03	1	1875	Pathogenic
Enterococcus faecalis TX0630//Enterococcus faecalis	TX0630	ENA, NCBI	749508.0	Enterococcus faecalis TX0630//Enterococcus faecalis	GCA_000147255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/255/GCA_000147255.1_ASM14725v1	GCF_000147255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/255/GCF_000147255.1_ASM14725v1	749508	Enterococcus faecalis TX0630	strain=TX0630	latest	Scaffold	2010/09/23	4	3267	Pathogenic
Enterococcus faecalis TX4244//Enterococcus faecalis	TX4244	ENA, NCBI	749494.0	Enterococcus faecalis TX4244//Enterococcus faecalis	GCA_000147295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/295/GCA_000147295.1_ASM14729v1	GCF_000147295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/295/GCF_000147295.1_ASM14729v1	749494	Enterococcus faecalis TX4244	strain=TX4244	latest	Scaffold	2010/09/24	4	2784	Pathogenic
Enterococcus faecalis TX1346//Enterococcus faecalis	TX1346	ENA, NCBI	749516.0	Enterococcus faecalis TX1346//Enterococcus faecalis	GCA_000147455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/455/GCA_000147455.1_ASM14745v1	GCF_000147455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/455/GCF_000147455.1_ASM14745v1	749516	Enterococcus faecalis TX1346	strain=TX1346	latest	Scaffold	2010/09/23	4	2703	Pathogenic
Enterococcus faecalis TX1342//Enterococcus faecalis	TX1342	ENA, NCBI	749515.0	Enterococcus faecalis TX1342//Enterococcus faecalis	GCA_000147475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/475/GCA_000147475.1_ASM14747v1	GCF_000147475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/475/GCF_000147475.1_ASM14747v1	749515	Enterococcus faecalis TX1342	strain=TX1342	latest	Scaffold	2010/09/24	4	2665	Pathogenic
Peptostreptococcus stomatis DSM 17678	DSM 17678	ENA	596315.0	Peptostreptococcus stomatis DSM 17678	GCA_000147675.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/675/GCA_000147675.2_ASM14767v1	GCF_000147675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/675/GCF_000147675.1_ASM14767v1	596315	Peptostreptococcus stomatis DSM 17678	strain=DSM 17678	latest	Contig	2010/09/09	4	1830	Pathogenic
Enterococcus faecalis//Enterococcus faecalis TX4248	TX4248	ENA, NCBI	749495.0	Enterococcus faecalis//Enterococcus faecalis TX4248	GCA_000147925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/925/GCA_000147925.1_ASM14792v1	GCF_000147925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/925/GCF_000147925.1_ASM14792v1	749495	Enterococcus faecalis TX4248	strain=TX4248	latest	Scaffold	2010/09/23	4	3121	Pathogenic
Enterococcus faecalis TX0855//Enterococcus faecalis	TX0855	ENA, NCBI	749511.0	Enterococcus faecalis TX0855//Enterococcus faecalis	GCA_000148045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/045/GCA_000148045.1_ASM14804v1	GCF_000148045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/045/GCF_000148045.1_ASM14804v1	749511	Enterococcus faecalis TX0855	strain=TX0855	latest	Scaffold	2010/09/24	4	2861	Pathogenic
Enterococcus faecalis TX2134//Enterococcus faecalis	TX2134	ENA, NCBI	749518.0	Enterococcus faecalis TX2134//Enterococcus faecalis	GCA_000148065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/065/GCA_000148065.1_ASM14806v1	GCF_000148065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/065/GCF_000148065.1_ASM14806v1	749518	Enterococcus faecalis TX2134	strain=TX2134	latest	Scaffold	2010/09/24	4	3062	Pathogenic
Enterococcus faecium TX0133B//Enterococcus faecium	TX0133B	ENA, NCBI	749524.0	Enterococcus faecium TX0133B//Enterococcus faecium	GCA_000148145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/145/GCA_000148145.1_ASM14814v1	GCF_000148145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/145/GCF_000148145.1_ASM14814v1	749524	Enterococcus faecium TX0133B	strain=TX0133B	latest	Scaffold	2010/09/24	1	2905	Pathogenic
Enterococcus faecalis//Enterococcus faecalis TX0411	TX0411	ENA, NCBI	749506.0	Enterococcus faecalis//Enterococcus faecalis TX0411	GCA_000148185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/185/GCA_000148185.1_ASM14818v1	GCF_000148185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/185/GCF_000148185.1_ASM14818v1	749506	Enterococcus faecalis TX0411	strain=TX0411	latest	Scaffold	2010/09/24	4	3100	Pathogenic
Enterococcus faecalis TX0645//Enterococcus faecalis	TX0645	ENA, NCBI	749510.0	Enterococcus faecalis TX0645//Enterococcus faecalis	GCA_000148205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/205/GCA_000148205.1_ASM14820v1	GCF_000148205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/205/GCF_000148205.1_ASM14820v1	749510	Enterococcus faecalis TX0645	strain=TX0645	latest	Scaffold	2010/09/24	4	3150	Pathogenic
Enterococcus faecalis TX1341//Enterococcus faecalis	TX1341	ENA, NCBI	749514.0	Enterococcus faecalis TX1341//Enterococcus faecalis	GCA_000148225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/225/GCA_000148225.1_ASM14822v1	GCF_000148225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/225/GCF_000148225.1_ASM14822v1	749514	Enterococcus faecalis TX1341	strain=TX1341	latest	Scaffold	2010/09/24	4	2881	Pathogenic
Enterococcus faecalis//Enterococcus faecalis TX0012	TX0012	ENA, NCBI	749496.0	Enterococcus faecalis//Enterococcus faecalis TX0012	GCA_000148245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/245/GCA_000148245.1_ASM14824v1	GCF_000148245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/245/GCF_000148245.1_ASM14824v1	749496	Enterococcus faecalis TX0012	strain=TX0012	latest	Scaffold	2010/09/24	4	2652	Pathogenic
Enterococcus faecalis TX0470//Enterococcus faecalis	TX0470	ENA, NCBI	749507.0	Enterococcus faecalis TX0470//Enterococcus faecalis	GCA_000148265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/265/GCA_000148265.1_ASM14826v1	GCF_000148265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/265/GCF_000148265.1_ASM14826v1	749507	Enterococcus faecalis TX0470	strain=TX0470	latest	Scaffold	2010/09/24	4	2772	Pathogenic
Streptococcus pneumoniae	SK321	NCBI	585202.0	S. pneumoniae	GCA_000148505.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/505/GCA_000148505.2_ASM14850v1	GCF_000148505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/505/GCF_000148505.1_ASM14850v1	585202	Streptococcus mitis SK321	strain=SK321	latest	Contig	2010/09/24	1	1836	Pathogenic
Streptococcus pneumoniae	SK564	NCBI	585203.0	S. pneumoniae	GCA_000148525.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/525/GCA_000148525.2_ASM14852v1	GCF_000148525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/525/GCF_000148525.1_ASM14852v1	585203	Streptococcus mitis SK564	strain=SK564	latest	Contig	2010/09/24	1	1946	Pathogenic
Streptococcus pneumoniae	SK597	NCBI	585204.0	S. pneumoniae	GCA_000148545.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/545/GCA_000148545.2_ASM14854v1	GCF_000148545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/545/GCF_000148545.1_ASM14854v1	585204	Streptococcus mitis SK597	strain=SK597	latest	Contig	2010/09/24	1	1966	Pathogenic
Helicobacter pylori SJM180	SJM180	ENA	765962.0	Helicobacter pylori SJM180	GCA_000148855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/855/GCA_000148855.1_ASM14885v1	GCF_000148855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/855/GCF_000148855.1_ASM14885v1	765962	Helicobacter pylori SJM180	strain=SJM180	latest	Complete Genome	2010/10/01	3	1524	Pathogenic
Helicobacter pylori PeCan4	PeCan4	ENA	765963.0	Helicobacter pylori PeCan4	GCA_000148875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/875/GCA_000148875.1_ASM14887v1	GCF_000148875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/875/GCF_000148875.1_ASM14887v1	765963	Helicobacter pylori PeCan4	strain=PeCan4	latest	Complete Genome	2010/10/01	3	1532	Pathogenic
Helicobacter pylori Cuz20	Cuz20	ENA	765964.0	Helicobacter pylori Cuz20	GCA_000148895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/895/GCA_000148895.1_ASM14889v1	GCF_000148895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/895/GCF_000148895.1_ASM14889v1	765964	Helicobacter pylori Cuz20	strain=Cuz20	latest	Complete Genome	2010/10/01	3	1536	Pathogenic
Helicobacter pylori Sat464//Helicobacter pylori	Sat464	ENA, Patric (diseases), Patric (diseases)	794851.0	Helicobacter pylori Sat464//Helicobacter pylori	GCA_000148915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/915/GCA_000148915.1_ASM14891v1	GCF_000148915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/915/GCF_000148915.1_ASM14891v1	794851	Helicobacter pylori Sat464	strain=Sat464	latest	Complete Genome	2010/10/01	3	1464	Pathogenic
Clostridium sp. L2-50	L2-50	ENA, Patric (diseases)	411489.0	Clostridium sp. L2-50	GCA_000154245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/245/GCA_000154245.1_ASM15424v1	GCF_000154245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/245/GCF_000154245.1_ASM15424v1	411489	Clostridium sp. L2-50	strain=L2-50	latest	Scaffold	2007/08/21	4	2635	Pathogenic
Parvimonas micra	ATCC 33270	Patric (diseases)	411465.0	P. micra	GCA_000154405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/405/GCA_000154405.1_ASM15440v1	GCF_000154405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/405/GCF_000154405.1_ASM15440v1	411465	Parvimonas micra ATCC 33270	strain=ATCC 33270	latest	Scaffold	2007/09/12	4	1604	Pathogenic
