Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	assembly_accession_genbank	FTP path genbank	assembly_accession_refseq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	PathoPhenotype
Vibrio cholerae	Sudan_2019_18	NCBI	666	V. cholerae	GCA_040412195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/412/195/GCA_040412195.1_ASM4041219v1	GCF_040412195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/412/195/GCF_040412195.1_ASM4041219v1	666	Vibrio cholerae	strain=Sudan_2019_18	latest	Complete Genome	2024-06-30	Pathogenic
Klebsiella pneumoniae	S2021008	NCBI	573	K. pneumoniae	GCA_038376425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/376/425/GCA_038376425.1_ASM3837642v1	GCF_038376425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/376/425/GCF_038376425.1_ASM3837642v1	573	Klebsiella pneumoniae	strain=S2021008	latest	Contig	2024-04-17	Pathogenic
Acinetobacter baumannii	18-113	NCBI	106654	A. baumannii	GCA_043838595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/838/595/GCA_043838595.1_ASM4383859v1	GCF_043838595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/838/595/GCF_043838595.1_ASM4383859v1	106654	Acinetobacter nosocomialis	strain=18-113	latest	Scaffold	2024-10-25	Pathogenic
Acinetobacter baumannii	SIMBA102	NCBI	470	A. baumannii	GCA_041079805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/079/805/GCA_041079805.1_ASM4107980v1	GCF_041079805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/079/805/GCF_041079805.1_ASM4107980v1	470	Acinetobacter baumannii	strain=SIMBA102	latest	Contig	2024-08-06	Pathogenic
Enterococcus faecium	RTP21230st1_H2_RTP21230_210325	NCBI	1352	E. faecium	GCA_040925755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/925/755/GCA_040925755.1_ASM4092575v1	GCF_040925755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/925/755/GCF_040925755.1_ASM4092575v1	1352	Enterococcus faecium	strain=RTP21230st1_H2_RTP21230_210325	latest	Scaffold	2024-07-27	Pathogenic
Escherichia coli	Patient_F	NCBI	562	E. coli	GCA_042747885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/747/885/GCA_042747885.1_ASM4274788v1	GCF_042747885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/747/885/GCF_042747885.1_ASM4274788v1	562	Escherichia coli	strain=Patient_F	latest	Contig	2024-10-08	Pathogenic
Escherichia coli		NCBI	562	E. coli	GCA_963679195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/679/195/GCA_963679195.1_2b2c4	GCF_963679195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/679/195/GCF_963679195.1_2b2c4	562	Escherichia coli	na	latest	Contig	2024-01-03	Pathogenic
Escherichia coli	MRSN110032	NCBI	562	E. coli	GCA_037632055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/632/055/GCA_037632055.1_ASM3763205v1	GCF_037632055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/632/055/GCF_037632055.1_ASM3763205v1	562	Escherichia coli	strain=MRSN110032	latest	Contig	2024-03-26	Pathogenic
Salmonella enterica	50729	NCBI	59201	S. enterica	GCA_041921995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/921/995/GCA_041921995.1_ASM4192199v1	GCF_041921995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/921/995/GCF_041921995.1_ASM4192199v1	59201	Salmonella enterica subsp. enterica	strain=50729	latest	Contig	2024-09-14	Pathogenic
Escherichia coli	314J8	NCBI	562	E. coli	GCA_040120275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/120/275/GCA_040120275.1_ASM4012027v1	GCF_040120275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/120/275/GCF_040120275.1_ASM4012027v1	562	Escherichia coli	strain=314J8	latest	Contig	2024-06-10	Pathogenic
Escherichia coli	KYE026	NCBI	562	E. coli	GCA_042852925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/852/925/GCA_042852925.1_ASM4285292v1	GCF_042852925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/852/925/GCF_042852925.1_ASM4285292v1	562	Escherichia coli	strain=KYE026	latest	Contig	2024-07-06	Pathogenic
Acinetobacter baumannii	244_16	Patric (diseases)	470	A. baumannii	GCA_015538345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/538/345/GCA_015538345.1_ASM1553834v1	GCF_015538345.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/538/345/GCF_015538345.1_ASM1553834v1	470	Acinetobacter baumannii	strain=244_16	latest	Scaffold	2020-11-17	Pathogenic
Enterobacter roggenkampii	ECC-180	NCBI	1812935	E. roggenkampii	GCA_043968015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/968/015/GCA_043968015.1_ASM4396801v1	GCF_043968015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/968/015/GCF_043968015.1_ASM4396801v1	1812935	Enterobacter roggenkampii	strain=ECC-180	latest	Complete Genome	2024-10-29	Pathogenic
Escherichia coli	Z1322HEC0009	NCBI	562	E. coli	GCA_037622475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/622/475/GCA_037622475.1_ASM3762247v1	GCF_037622475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/622/475/GCF_037622475.1_ASM3762247v1	562	Escherichia coli	strain=Z1322HEC0009	latest	Complete Genome	2024-04-05	Pathogenic
Streptococcus agalactiae	S1430	NCBI	1311	S. agalactiae	GCA_043948855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/948/855/GCA_043948855.1_ASM4394885v1	GCF_043948855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/948/855/GCF_043948855.1_ASM4394885v1	1311	Streptococcus agalactiae	strain=S1430	latest	Contig	2024-10-26	Pathogenic
Enterobacter cloacae	2020-0743	NCBI	550	E. cloacae	GCA_041084335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/084/335/GCA_041084335.1_ASM4108433v1	GCF_041084335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/084/335/GCF_041084335.1_ASM4108433v1	550	Enterobacter cloacae	strain=2020-0743	latest	Scaffold	2024-08-07	Pathogenic
Aeromonas caviae	FUJ01812	Patric (diseases)	648	A. caviae	GCA_035205525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/205/525/GCA_035205525.1_ASM3520552v1	GCF_035205525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/205/525/GCF_035205525.1_ASM3520552v1	648	Aeromonas caviae	strain=FUJ01812	latest	Contig	2024-01-08	Pathogenic
Staphylococcus aureus	E2_4	NCBI	1280	S. aureus	GCA_042862545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/862/545/GCA_042862545.1_ASM4286254v1	GCF_042862545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/862/545/GCF_042862545.1_ASM4286254v1	1280	Staphylococcus aureus	strain=E2_4	latest	Contig	2024-10-09	Pathogenic
Escherichia coli	NMI6988-23	NCBI	562	E. coli	GCA_041078785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/078/785/GCA_041078785.1_ASM4107878v1	GCF_041078785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/078/785/GCF_041078785.1_ASM4107878v1	562	Escherichia coli	strain=NMI6988-23	latest	Contig	2024-08-06	Pathogenic
Klebsiella pneumoniae	HD1649	NCBI	573	K. pneumoniae	GCA_041388785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/388/785/GCA_041388785.1_ASM4138878v1	GCF_041388785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/388/785/GCF_041388785.1_ASM4138878v1	573	Klebsiella pneumoniae	strain=HD1649	latest	Contig	2024-08-20	Pathogenic
Enterobacter chengduensis	ELB117	NCBI	2494701	E. chengduensis	GCA_036709365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/709/365/GCA_036709365.1_ASM3670936v1	GCF_036709365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/709/365/GCF_036709365.1_ASM3670936v1	2494701	Enterobacter chengduensis	strain=ELB117	latest	Contig	2024-02-20	Pathogenic
Escherichia coli	Crie-Pu1335	NCBI	562	E. coli	GCA_041727335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/727/335/GCA_041727335.1_ASM4172733v1	GCF_041727335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/727/335/GCF_041727335.1_ASM4172733v1	562	Escherichia coli	strain=Crie-Pu1335	latest	Scaffold	2024-09-02	Pathogenic
Vibrio parahaemolyticus	906-97	NCBI	670	V. parahaemolyticus	GCA_041983335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/983/335/GCA_041983335.1_ASM4198333v1	GCF_041983335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/983/335/GCF_041983335.1_ASM4198333v1	670	Vibrio parahaemolyticus	strain=906-97	latest	Contig	2024-09-18	Pathogenic
Citrobacter freundii	149I9	NCBI	546	C. freundii	GCA_036579125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/579/125/GCA_036579125.1_ASM3657912v1	GCF_036579125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/579/125/GCF_036579125.1_ASM3657912v1	546	Citrobacter freundii	strain=149I9	latest	Contig	2024-02-12	Pathogenic
Escherichia coli	MA_165	NCBI	562	E. coli	GCA_036903775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/903/775/GCA_036903775.1_ASM3690377v1	GCF_036903775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/903/775/GCF_036903775.1_ASM3690377v1	562	Escherichia coli	strain=MA_165	latest	Contig	2024-02-28	Pathogenic
Klebsiella pneumoniae	FFMG-1331-6-21-A	NCBI	573	K. pneumoniae	GCA_964207245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/207/245/GCA_964207245.1_FFMG_1331-6-21-A.1	GCF_964207245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/207/245/GCF_964207245.1_FFMG_1331-6-21-A.1	573	Klebsiella pneumoniae	strain=FFMG-1331-6-21-A	latest	Contig	2024-07-29	Pathogenic
Enterobacter kobei	AR0846	NCBI	208224	E. kobei	GCA_041364715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/364/715/GCA_041364715.1_ASM4136471v1	GCF_041364715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/364/715/GCF_041364715.1_ASM4136471v1	208224	Enterobacter kobei	strain=AR0846	latest	Contig	2024-08-19	Pathogenic
Klebsiella pneumoniae	KP2030	NCBI, Patric (diseases)	573	K. pneumoniae	GCA_036329185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/329/185/GCA_036329185.1_ASM3632918v1	GCF_036329185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/329/185/GCF_036329185.1_ASM3632918v1	573	Klebsiella pneumoniae	strain=KP2030	latest	Scaffold	2024-02-01	Pathogenic
Haemophilus influenzae	P661-4460	NCBI	727	H. influenzae	GCA_003414215.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/414/215/GCA_003414215.2_ASM341421v2	GCF_003414215.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/414/215/GCF_003414215.2_ASM341421v2	727	Haemophilus influenzae	strain=P661-4460	latest	Contig	2024-07-25	Pathogenic
Klebsiella pneumoniae	GIMC1025:Kpn54130623	NCBI	573	K. pneumoniae	GCA_038929555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/929/555/GCA_038929555.1_ASM3892955v1	GCF_038929555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/929/555/GCF_038929555.1_ASM3892955v1	573	Klebsiella pneumoniae	strain=GIMC1025:Kpn54130623	latest	Contig	2024-05-01	Pathogenic
Klebsiella pneumoniae	KP220-4	NCBI	573	K. pneumoniae	GCA_044989195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/989/195/GCA_044989195.1_ASM4498919v1	GCF_044989195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/989/195/GCF_044989195.1_ASM4498919v1	573	Klebsiella pneumoniae	strain=KP220-4	latest	Scaffold	2024-11-17	Pathogenic
Enterobacter asburiae	KE9595	NCBI	61645	E. asburiae	GCA_040409465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/409/465/GCA_040409465.1_ASM4040946v1	GCF_040409465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/409/465/GCF_040409465.1_ASM4040946v1	61645	Enterobacter asburiae	strain=KE9595	latest	Contig	2024-06-27	Pathogenic
Klebsiella pneumoniae	1202627	NCBI	244366	K. pneumoniae	GCA_036946915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/946/915/GCA_036946915.1_ASM3694691v1	GCF_036946915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/946/915/GCF_036946915.1_ASM3694691v1	244366	Klebsiella variicola	strain=1202627	latest	Scaffold	2024-03-01	Pathogenic
Campylobacter jejuni	220111	NCBI	195	C. jejuni	GCA_042879535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/879/535/GCA_042879535.1_ASM4287953v1	GCF_042879535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/879/535/GCF_042879535.1_ASM4287953v1	195	Campylobacter coli	strain=220111	latest	Contig	2024-10-09	Pathogenic
Clostridium perfringens	6749	NCBI	1502	C. perfringens	GCA_036682575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/682/575/GCA_036682575.1_ASM3668257v1	GCF_036682575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/682/575/GCF_036682575.1_ASM3668257v1	1502	Clostridium perfringens	strain=6749	latest	Contig	2024-02-16	Pathogenic
Klebsiella pneumoniae	D14	NCBI	573	K. pneumoniae	GCA_041353195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/353/195/GCA_041353195.1_ASM4135319v1	GCF_041353195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/353/195/GCF_041353195.1_ASM4135319v1	573	Klebsiella pneumoniae	strain=D14	latest	Contig	2024-08-19	Pathogenic
Klebsiella pneumoniae	NK_H12_057	NCBI	1463164	K. pneumoniae	GCA_041897755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/897/755/GCA_041897755.1_ASM4189775v1	GCF_041897755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/897/755/GCF_041897755.1_ASM4189775v1	1463164	Klebsiella quasipneumoniae subsp. similipneumoniae	strain=NK_H12_057	latest	Complete Genome	2024-09-12	Pathogenic
Enterococcus faecalis	RTP21484st1_E6_RTP21484_190118	NCBI	1351	E. faecalis	GCA_039758655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/758/655/GCA_039758655.1_ASM3975865v1	GCF_039758655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/758/655/GCF_039758655.1_ASM3975865v1	1351	Enterococcus faecalis	strain=RTP21484st1_E6_RTP21484_190118	latest	Scaffold	2024-05-22	Pathogenic
Mycobacterium tuberculosis	36360377	NCBI	1773	M. tuberculosis	GCA_040536995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/536/995/GCA_040536995.1_ASM4053699v1	GCF_040536995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/536/995/GCF_040536995.1_ASM4053699v1	1773	Mycobacterium tuberculosis	strain=36360377	latest	Contig	2024-07-07	Pathogenic
Bacillus cereus	CHN-NX-BA-2021-05	NCBI	1392	B. cereus	GCA_036621055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/621/055/GCA_036621055.1_ASM3662105v1	GCF_036621055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/621/055/GCF_036621055.1_ASM3662105v1	1392	Bacillus anthracis	strain=CHN-NX-BA-2021-05	latest	Scaffold	2024-02-14	Pathogenic
Pseudomonas aeruginosa	H19	NCBI	287	P. aeruginosa	GCA_041353415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/353/415/GCA_041353415.1_ASM4135341v1	GCF_041353415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/353/415/GCF_041353415.1_ASM4135341v1	287	Pseudomonas aeruginosa	strain=H19	latest	Scaffold	2024-08-19	Pathogenic
Aeromonas caviae	FUJ01717	Patric (diseases)	648	A. caviae	GCA_035203045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/203/045/GCA_035203045.1_ASM3520304v1	GCF_035203045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/203/045/GCF_035203045.1_ASM3520304v1	648	Aeromonas caviae	strain=FUJ01717	latest	Contig	2024-01-08	Pathogenic
Pseudomonas aeruginosa	PA-23	NCBI	287	P. aeruginosa	GCA_040715175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/715/175/GCA_040715175.1_ASM4071517v1	GCF_040715175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/715/175/GCF_040715175.1_ASM4071517v1	287	Pseudomonas aeruginosa	strain=PA-23	latest	Contig	2024-07-15	Pathogenic
Pseudomonas aeruginosa	SS_PA37	NCBI	287	P. aeruginosa	GCA_040066335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/066/335/GCA_040066335.1_ASM4006633v1	GCF_040066335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/066/335/GCF_040066335.1_ASM4006633v1	287	Pseudomonas aeruginosa	strain=SS_PA37	latest	Contig	2024-06-04	Pathogenic
Haemophilus influenzae	P630-7232	NCBI	727	H. influenzae	GCA_003415035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/415/035/GCA_003415035.2_ASM341503v2	GCF_003415035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/415/035/GCF_003415035.2_ASM341503v2	727	Haemophilus influenzae	strain=P630-7232	latest	Contig	2024-07-25	Pathogenic
Streptococcus suis	BS13	NCBI	1307	S. suis	GCA_040148565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/148/565/GCA_040148565.1_ASM4014856v1	GCF_040148565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/148/565/GCF_040148565.1_ASM4014856v1	1307	Streptococcus suis	strain=BS13	latest	Contig	2024-06-12	Pathogenic
Klebsiella oxytoca	CPO534	NCBI	571	K. oxytoca	GCA_030183005.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/183/005/GCA_030183005.2_NA	GCF_030183005.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/183/005/GCF_030183005.2_NA	571	Klebsiella oxytoca	strain=CPO534	latest	Contig	2024-01-24	Pathogenic
Streptococcus pneumoniae	20925_1_26	NCBI	257758	S. pneumoniae	GCA_041431875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/431/875/GCA_041431875.1_ASM4143187v1	GCF_041431875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/431/875/GCF_041431875.1_ASM4143187v1	257758	Streptococcus pseudopneumoniae	strain=20925_1_26	latest	Contig	2024-08-22	Pathogenic
Salmonella enterica	NBFE-049	NCBI	28901	S. enterica	GCA_040195395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/195/395/GCA_040195395.1_ASM4019539v1	GCF_040195395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/195/395/GCF_040195395.1_ASM4019539v1	28901	Salmonella enterica	strain=NBFE-049	latest	Scaffold	2024-06-15	Pathogenic
Staphylococcus aureus	SAWL001	NCBI	1280	S. aureus	GCA_040047685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/047/685/GCA_040047685.1_SAWL001	GCF_040047685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/047/685/GCF_040047685.1_SAWL001	1280	Staphylococcus aureus	strain=SAWL001	latest	Complete Genome	2024-06-06	Pathogenic
Staphylococcus aureus	MRSA_7	NCBI, Patric (diseases)	1280	S. aureus	GCA_037170005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/170/005/GCA_037170005.1_ASM3717000v1	GCF_037170005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/170/005/GCF_037170005.1_ASM3717000v1	1280	Staphylococcus aureus	strain=MRSA_7	latest	Contig	2024-03-14	Pathogenic
Acinetobacter baumannii	FFMG-126-3-21	NCBI	470	A. baumannii	GCA_964206635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/206/635/GCA_964206635.1_FFMG_126-3-21.1	GCF_964206635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/206/635/GCF_964206635.1_FFMG_126-3-21.1	470	Acinetobacter baumannii	strain=FFMG-126-3-21	latest	Contig	2024-07-28	Pathogenic
