Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Escherichia coli	HS	Patric (diseases)		331112.0	E. coli	GCA_000017765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1	Pathogenic	GCF_000017765.1	PRJNA224116	SAMN02604037		na	331112	562	Escherichia coli HS	strain=HS		latest	Complete Genome	Major	Full	2007/09/10	ASM1776v1	TIGR	GCA_000017765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1			na	Escherichia coli	NC_009800.1	Escherichia coli HS, complete sequence	GCF_000017765.1_ASM1776v1_genomic.fna.gz 	GCF_000017765.1	9	5	GCF_000/GCF_000017765.1_ASM1776v1_genomic.h5	4324
Rickettsia akari str. Hartford	Hartford	ENA	ENADB	293614.0	Rickettsia akari str. Hartford	GCA_000018205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/205/GCA_000018205.1_ASM1820v1	Pathogenic	GCF_000018205.1	PRJNA224116	SAMN02604084		representative genome	293614	786	Rickettsia akari str. Hartford	strain=Hartford		latest	Complete Genome	Major	Full	2007/10/02	ASM1820v1	Univ. Iowa	GCA_000018205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/205/GCF_000018205.1_ASM1820v1			na	Rickettsia akari	NC_009881.1	Rickettsia akari str. Hartford, complete sequence	GCF_000018205.1_ASM1820v1_genomic.fna.gz 	GCF_000018205.1	11535	4	GCF_000/GCF_000018205.1_ASM1820v1_genomic.h5	1313
Borrelia recurrentis	A1	Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases)	, , , , , , 	412418.0	B. recurrentis	GCA_000019705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/705/GCA_000019705.1_ASM1970v1	Pathogenic	GCF_000019705.1	PRJNA224116	SAMN02603586		representative genome	412418	44449	Borrelia recurrentis A1	strain=A1		latest	Complete Genome	Major	Full	2008/09/15	ASM1970v1	Marseille-Nice Genopole	GCA_000019705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/705/GCF_000019705.1_ASM1970v1		assembly designated as reftype	na	Borrelia recurrentis	NC_011244.1	Borrelia recurrentis A1, complete sequence	GCF_000019705.1_ASM1970v1_genomic.fna.gz 	GCF_000019705.1	6195	5	GCF_000/GCF_000019705.1_ASM1970v1_genomic.h5	1214
Coxiella burnetii	CbuK_Q154	Patric (diseases), Patric (diseases)	, 	434924.0	C. burnetii	GCA_000019885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/885/GCA_000019885.1_ASM1988v1	Pathogenic	GCF_000019885.1	PRJNA224116	SAMN02603767		na	434924	777	Coxiella burnetii CbuK_Q154	strain=CbuK_Q154		latest	Complete Genome	Major	Full	2008/11/06	ASM1988v1	Rocky Mountain Laboratories	GCA_000019885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/885/GCF_000019885.1_ASM1988v1			na	Coxiella burnetii	NC_011528.1	Coxiella burnetii CbuK_Q154, complete sequence	GCF_000019885.1_ASM1988v1_genomic.fna.gz 	GCF_000019885.1	7957	4	GCF_000/GCF_000019885.1_ASM1988v1_genomic.h5	2136
Burkholderia ambifaria	MC40-6	Patric (diseases), Patric (diseases)	, 	398577.0	B. ambifaria	GCA_000019925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/925/GCA_000019925.1_ASM1992v1	Pathogenic	GCF_000019925.1	PRJNA224116	SAMN02598385		na	398577	152480	Burkholderia ambifaria MC40-6	strain=MC40-6		latest	Complete Genome	Major	Full	2008/04/03	ASM1992v1	US DOE Joint Genome Institute	GCA_000019925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/925/GCF_000019925.1_ASM1992v1			na	Burkholderia ambifaria	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence	GCF_000019925.1_ASM1992v1_genomic.fna.gz 	GCF_000019925.1	135	5	GCF_000/GCF_000019925.1_ASM1992v1_genomic.h5	6753
Bacillus cereus//Bacillus cereus//Bacillus cereus B4264	B4264	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	405532.0	Bacillus cereus//Bacillus cereus//Bacillus cereus B4264	GCA_000021205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/205/GCA_000021205.1_ASM2120v1	Pathogenic	GCF_000021205.1	PRJNA224116	SAMN02604059		na	405532	1396	Bacillus cereus B4264	strain=B4264		latest	Complete Genome	Major	Full	2008/12/17	ASM2120v1	TIGR	GCA_000021205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/205/GCF_000021205.1_ASM2120v1			na	Bacillus cereus	NC_011725.1	Bacillus cereus B4264, complete sequence	GCF_000021205.1_ASM2120v1_genomic.fna.gz 	GCF_000021205.1	862	1	GCF_000/GCF_000021205.1_ASM2120v1_genomic.h5	5349
Bacillus cereus	AH820	Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases)	, , , 	405535.0	B. cereus	GCA_000021785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/785/GCA_000021785.1_ASM2178v1	Pathogenic	GCF_000021785.1	PRJNA224116	SAMN02604057		na	405535	1396	Bacillus cereus AH820	strain=AH820		latest	Complete Genome	Major	Full	2008/12/19	ASM2178v1	TIGR	GCA_000021785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/785/GCF_000021785.1_ASM2178v1			na	Bacillus cereus	NC_011773.1	Bacillus cereus AH820, complete sequence	GCF_000021785.1_ASM2178v1_genomic.fna.gz 	GCF_000021785.1	366	4	GCF_000/GCF_000021785.1_ASM2178v1_genomic.h5	5677
Capnocytophaga ochracea	DSM 7271	Patric (diseases)		521097.0	C. ochracea	GCA_000023285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1	Pathogenic	GCF_000023285.1	PRJNA224116	SAMN00001911		representative genome	521097	1018	Capnocytophaga ochracea DSM 7271	strain=DSM 7271		latest	Complete Genome	Major	Full	2009/08/26	ASM2328v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/285/GCF_000023285.1_ASM2328v1		assembly from type material	na	Capnocytophaga ochracea	NC_013162.1	Capnocytophaga ochracea DSM 7271, complete sequence	GCF_000023285.1_ASM2328v1_genomic.fna.gz 	GCF_000023285.1	4193	4	GCF_000/GCF_000023285.1_ASM2328v1_genomic.h5	2185
Eggerthella lenta	DSM 2243	Patric (diseases)		479437.0	E. lenta	GCA_000024265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/265/GCA_000024265.1_ASM2426v1	Pathogenic	GCF_000024265.1	PRJNA224116	SAMN00002594		na	479437	84112	Eggerthella lenta DSM 2243	strain=DSM 2243		latest	Complete Genome	Major	Full	2009/09/09	ASM2426v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/265/GCF_000024265.1_ASM2426v1		assembly from type material	na	Eggerthella lenta	NC_013204.1	Eggerthella lenta DSM 2243, complete sequence	GCF_000024265.1_ASM2426v1_genomic.fna.gz 	GCF_000024265.1	695	4	GCF_000/GCF_000024265.1_ASM2426v1_genomic.h5	3116
Gardnerella vaginalis 409-05	409-05	ENA	ENADB	553190.0	Gardnerella vaginalis 409-05	GCA_000025205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/205/GCA_000025205.1_ASM2520v1	Pathogenic	GCF_000025205.1	PRJNA224116	SAMN02299422		na	553190	2702	Gardnerella vaginalis 409-05	strain=409-05		latest	Complete Genome	Major	Full	2010/01/07	ASM2520v1	J. Craig Venter Institute	GCA_000025205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/205/GCF_000025205.1_ASM2520v1			na	Gardnerella vaginalis	NC_013721.1	Gardnerella vaginalis 409-05, complete sequence	GCF_000025205.1_ASM2520v1_genomic.fna.gz 	GCF_000025205.1	3968	1	GCF_000/GCF_000025205.1_ASM2520v1_genomic.h5	1273
Streptococcus equi	H70	Patric (diseases)		40041.0	S. equi	GCA_000026605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/605/GCA_000026605.1_ASM2660v1	Pathogenic	GCF_000026605.1	PRJNA224116	SAMEA2272197		na	40041	1336	Streptococcus equi subsp. zooepidemicus	strain=H70		latest	Complete Genome	Major	Full	2009/03/26	ASM2660v1	The Wellcome Trust Sanger Institute	GCA_000026605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/605/GCF_000026605.1_ASM2660v1			na	Streptococcus equi	NC_012470.1	Streptococcus equi subsp. zooepidemicus, complete sequence	GCF_000026605.1_ASM2660v1_genomic.fna.gz 	GCF_000026605.1	3289	4	GCF_000/GCF_000026605.1_ASM2660v1_genomic.h5	1958
Streptococcus gallolyticus	UCN34	Patric (diseases)		637909.0	S. gallolyticus	GCA_000027185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/185/GCA_000027185.1_ASM2718v1	Pathogenic	GCF_000027185.1	PRJNA224116	SAMEA2272396		na	637909	315405	Streptococcus gallolyticus UCN34	strain=UCN34		latest	Complete Genome	Major	Full	2010/02/11	ASM2718v1	Institut Pasteur	GCA_000027185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/185/GCF_000027185.1_ASM2718v1			na	Streptococcus gallolyticus	NC_013798.1	Streptococcus gallolyticus UCN34, complete sequence	GCF_000027185.1_ASM2718v1_genomic.fna.gz 	GCF_000027185.1	481	3	GCF_000/GCF_000027185.1_ASM2718v1_genomic.h5	2255
Mycoplasmoides genitalium	G37	Patric (diseases)		243273.0	M. genitalium	GCA_000027325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1	Pathogenic	GCF_000027325.1	PRJNA224116	SAMN02603983		representative genome	243273	2097	Mycoplasma genitalium G37	strain=G-37		latest	Complete Genome	Major	Full	2006/01/09	ASM2732v1	TIGR	GCA_000027325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/325/GCF_000027325.1_ASM2732v1		assembly from type material	na	Mycoplasma genitalium	NC_000908.2	Mycoplasmoides genitalium G37, complete sequence	GCF_000027325.1_ASM2732v1_genomic.fna.gz 	GCF_000027325.1	7870	5	GCF_000/GCF_000027325.1_ASM2732v1_genomic.h5	995
Legionella pneumophila	2300/99 Alcoy	Patric (diseases)		423212.0	L. pneumophila	GCA_000092625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/625/GCA_000092625.1_ASM9262v1	Pathogenic	GCF_000092625.1	PRJNA224116	SAMN02604292		na	423212	446	Legionella pneumophila 2300/99 Alcoy	strain=2300/99 Alcoy		latest	Complete Genome	Major	Full	2010/05/03	ASM9262v1	Valencia University and Public Health Research Superior Center (CSISP) of Valencia's Goverment, Spain	GCA_000092625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/625/GCF_000092625.1_ASM9262v1			na	Legionella pneumophila	NC_014125.1	Legionella pneumophila 2300/99 Alcoy, complete sequence	GCF_000092625.1_ASM9262v1_genomic.fna.gz 	GCF_000092625.1	193	2	GCF_000/GCF_000092625.1_ASM9262v1_genomic.h5	3129
Candidatus Riesia pediculicola USDA	USDA	ENA	ENADB	515618.0	Candidatus Riesia pediculicola USDA	GCA_000093065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/065/GCA_000093065.1_ASM9306v1	Pathogenic	GCF_000093065.1	PRJNA224116	SAMN02603451		representative genome	515618	401619	Candidatus Riesia pediculicola USDA	strain=USDA		latest	Complete Genome	Major	Full	2010/03/16	ASM9306v1	J. Craig Venter Institute	GCA_000093065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/065/GCF_000093065.1_ASM9306v1			na	Candidatus Riesia	NC_014109.1	Candidatus Riesia pediculicola USDA, complete sequence	GCF_000093065.1_ASM9306v1_genomic.fna.gz 	GCF_000093065.1	16412	1	GCF_000/GCF_000093065.1_ASM9306v1_genomic.h5	493
Helicobacter pylori	v225d	Patric (diseases)		637913.0	H. pylori	GCA_000093185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1	Pathogenic	GCF_000093185.1	PRJNA224116	SAMN00003101		na	637913	210	Helicobacter pylori v225d	strain=v225d		latest	Complete Genome	Major	Full	2010/06/03	ASM9318v1	The Pathosystems Resource Integration Center (PATRIC)	GCA_000093185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1			na	Helicobacter pylori	NC_017355.1	Helicobacter pylori v225d, complete sequence	GCF_000093185.1_ASM9318v1_genomic.fna.gz 	GCF_000093185.1	23	3	GCF_000/GCF_000093185.1_ASM9318v1_genomic.h5	1510
Corynebacterium genitalium ATCC 33030	ATCC 33030	ENA	ENADB	585529.0	Corynebacterium genitalium ATCC 33030	GCA_000143825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/825/GCA_000143825.1_ASM14382v1	Pathogenic	GCF_000143825.1	PRJNA224116	SAMN00139184	ACLJ00000000.2	representative genome	585529	38288	Corynebacterium genitalium ATCC 33030	strain=ATCC 33030		latest	Chromosome	Major	Full	2010/09/07	ASM14382v1	Baylor College of Medicine	GCA_000143825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/825/GCF_000143825.1_ASM14382v1			na	Corynebacterium genitalium	NZ_CM000961.1	Corynebacterium genitalium ATCC 33030 chromosome, whole genome shotgun sequence	GCF_000143825.1_ASM14382v1_genomic.fna.gz 	GCF_000143825.1	17261	5	GCF_000/GCF_000143825.1_ASM14382v1_genomic.h5	2219
Corynebacterium accolens ATCC 49726	ATCC 49726	ENA	ENADB	862512.0	Corynebacterium accolens ATCC 49726	GCA_000146485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/485/GCA_000146485.1_ASM14648v1	Pathogenic	GCF_000146485.1	PRJNA224116	SAMN00139429	AEED00000000.1	na	862512	38284	Corynebacterium accolens ATCC 49726	strain=ATCC 49726		latest	Scaffold	Major	Full	2010/09/01	ASM14648v1	Baylor College of Medicine	GCA_000146485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/485/GCF_000146485.1_ASM14648v1			na	Corynebacterium accolens	NZ_GL397138.1	Corynebacterium accolens ATCC 49726 SCAFFOLD1, whole genome shotgun sequence	GCF_000146485.1_ASM14648v1_genomic.fna.gz 	GCF_000146485.1	201	2	GCF_000/GCF_000146485.1_ASM14648v1_genomic.h5	2296
Streptococcus gallolyticus subsp. gallolyticus TX20005//Streptococcus gallolyticus	TX20005	ENA, Patric (diseases)	ENADB, 	545774.0	Streptococcus gallolyticus subsp. gallolyticus TX20005//Streptococcus gallolyticus	GCA_000146525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/525/GCA_000146525.1_ASM14652v1	Pathogenic	GCF_000146525.1	PRJNA224116	SAMN00000310	AEEM00000000.1	na	545774	315405	Streptococcus gallolyticus subsp. gallolyticus TX20005	strain=TX20005		latest	Scaffold	Major	Full	2010/09/01	ASM14652v1	Baylor College of Medicine	GCA_000146525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/525/GCF_000146525.1_ASM14652v1			na	Streptococcus gallolyticus	NZ_GL397173.1	Streptococcus gallolyticus subsp. gallolyticus TX20005 SCAFFOLD1, whole genome shotgun sequence	GCF_000146525.1_ASM14652v1_genomic.fna.gz 	GCF_000146525.1	481	3	GCF_000/GCF_000146525.1_ASM14652v1_genomic.h5	2171
Streptococcus pneumoniae//Streptococcus mitis ATCC 6249	ATCC 6249	ENA, NCBI	ENADB, NCBIPathogenDBB	864567.0	Streptococcus pneumoniae//Streptococcus mitis ATCC 6249	GCA_000146585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/585/GCA_000146585.1_ASM14658v1	Pathogenic	GCF_000146585.1	PRJNA224116	SAMN00116813	AEEN00000000.1	na	864567	28037	Streptococcus mitis ATCC 6249	strain=ATCC 6249		latest	Scaffold	Major	Full	2010/09/01	ASM14658v1	Baylor College of Medicine	GCA_000146585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/585/GCF_000146585.1_ASM14658v1			na	Streptococcus mitis	NZ_GL397179.1	Streptococcus mitis ATCC 6249 SCAFFOLD1, whole genome shotgun sequence	GCF_000146585.1_ASM14658v1_genomic.fna.gz 	GCF_000146585.1	3059	2	GCF_000/GCF_000146585.1_ASM14658v1_genomic.h5	1753
